6, 356
8, 1028
10, 1582
12, 3269
14, 3053
16, 4455
18, 7748
20, 7840
22, 17843
24, 13337
26, 40302
28, 31438
30, 32265
32, 39359
34, 44058
36, 53045
38, 72653
40, 131436
42, 114680
44, 110389
46, 183847
48, 243593
50, 212246
52, 213237
54, 381056
56, 427759
58, 355182
60, 567620
62, 544830
64, 456502
66, 475363
68, 570692
70, 623049
72, 841344
74, 1294894
76, 873018
78, 910064
80, 1131737
82, 1085090
84, 1318900
86, 2296490
88, 2591679
90, 1665298
92, 1949613
94, 1743381
96, 2154328
98, 2334628
100, 2278168
